报案号1,	报案号2,	关系
9061303362017000145,	9061303202016000263,	"['同标的车牌号', '同标的车架号']"
9061303362017000145,	9061303362016000106,	"['同标的车牌号', '同标的车架号']"
9061303362017000145,	9061303362015000062,	"['同标的车牌号', '同标的车架号']"
9061303362017000145,	9061303202015000191,	"['同标的车牌号', '同标的车架号']"
9061303202017000166,	9060203362016001192,	"['同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303202017000166,	9061303202014000253,	"['同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303202017000166,	9061303262013000531,	"['同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303362017000093,	9061303202016000384,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303362017000093,	9061303202016000174,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303362017000093,	9061303262014000611,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303362017000093,	9061303202014000419,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303362017000093,	9061303262014000139,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202017000088,	9061303202016000185,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202017000088,	9061303202015000505,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202017000088,	9061303202015000161,	"['同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303202017000059,	9061303262015000641,	"['同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303202017000059,	9061303262015000138,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202017000059,	9061303262014000288,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202017000059,	9061303262014000251,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202017000059,	9061303202014000185,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202017000059,	9061303202014000147,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202017000058,	9061303202016000202,	"['同三者车牌号', '同三者车架号']"
9061303362017000006,	9061303202016000339,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303362017000006,	9061303202016000202,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303362017000006,	9061303202015000541,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303362017000006,	9061303262014000657,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9060203362016001192,	9061303202016000254,	['同三者车架号']
9060203362016001192,	9061303202014000490,	['同三者车架号']
9060203362016001192,	9061303202014000253,	"['同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9060203362016001192,	9061303262013000531,	"['同三者车架号', '同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9060203362016001192,	9061303202012000542,	['同三者车架号']
9061303202016000482,	9061303202012000908,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000482,	9061303202012000105,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303362016000230,	9061303202016000344,	"['同标的车牌号', '同标的车架号']"
9061303362016000230,	9061303202016000104,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000458,	9061303202016000382,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000458,	9061303362016000162,	"['同三者车牌号', '同三者车架号']"
9061303202016000458,	9061303202015000161,	"['同三者车牌号', '同三者车架号']"
9061303202016000458,	9061303202015000064,	"['同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303202016000458,	9061303202014000525,	"['同三者车牌号', '同三者车架号']"
9061303202016000428,	9061303202016000338,	"['同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000428,	9061303202016000193,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000384,	9061303202016000174,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000384,	9061303262014000611,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000384,	9061303202014000419,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000384,	9061303262014000139,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000382,	9061303202016000293,	"['同三者车牌号', '同三者车架号', '同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303362016000190,	9061303202016000339,	"['同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303362016000190,	9061303262015000573,	"['同三者车牌号', '同三者车架号']"
9061303362016000186,	9061303202016000355,	"['同三者车牌号', '同三者车架号']"
9061303362016000186,	9061303202012000758,	"['同三者车牌号', '同三者车架号']"
9061303362016000185,	9061303202016000190,	"['同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303362016000185,	9061303202015000538,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303362016000185,	9061303202015000278,	"['同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303362016000185,	9061303202014000649,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000356,	9061303202014000067,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000356,	9061303312013000204,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000355,	9061303202016000337,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000355,	9061303202015000573,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000355,	9061303202014000607,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000355,	9061303202014000429,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000355,	9061303202014000282,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000355,	9061303202014000173,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000355,	9061303202013000751,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000355,	9061303202013000682,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000355,	9061303202012000758,	"['同三者车牌号', '同三者车架号', '同三者驾驶员姓名']"
9061303202016000355,	9061303202011000384,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000344,	9061303202016000104,	"['同标的车牌号', '同标的车架号']"
9061303202016000344,	9061303262015000641,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000344,	9061303262015000582,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000344,	9061303262015000338,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000344,	9061303202015000196,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000344,	9061303202013000112,	['同报案电话']
9061303362016000167,	9061303262016000033,	"['同三者车牌号', '同三者车架号']"
9061303362016000167,	9061303202016000053,	"['同三者车牌号', '同三者车架号']"
9061303362016000167,	9061303202015000538,	"['同三者车牌号', '同三者车架号']"
9061303362016000167,	9061303202015000284,	"['同三者车牌号', '同三者车架号']"
9061303362016000167,	9061303202015000257,	['同三者车架号']
9061303362016000167,	9061303262015000338,	['同三者车架号']
9061303362016000167,	9061303262008006608,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000340,	9061303202016000263,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000340,	9061303202016000233,	"['同三者车牌号', '同三者车架号']"
9061303202016000340,	9061303362016000106,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000340,	9061303362016000039,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000340,	9061303362015000062,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000340,	9061303202015000201,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000340,	9061303202014000661,	"['同三者车牌号', '同三者车架号']"
9061303202016000340,	9061303202014000422,	"['同三者车牌号', '同三者车架号']"
9061303202016000340,	9061303202014000377,	"['同三者车牌号', '同三者车架号']"
9061303202016000340,	9061303262012000900,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000340,	9061303202012000604,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000340,	9061303262012000019,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000339,	9061303202016000202,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000339,	9061303202015000541,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000339,	9061303262014000657,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000338,	9061303202016000193,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000337,	9061303202015000588,	['同三者驾驶员姓名']
9061303202016000337,	9061303202015000573,	"['同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000337,	9061303202014000607,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000337,	9061303202014000429,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000337,	9061303202014000282,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000337,	9061303202014000173,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000337,	9061303202013000751,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000337,	9061303202013000682,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000337,	9061303202011000384,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303362016000162,	9061303202015000161,	"['同三者车牌号', '同三者车架号']"
9061303362016000162,	9061303202014000525,	"['同三者车牌号', '同三者车架号', '同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303362016000153,	9061303362016000025,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000293,	9061303262015000524,	"['同标的车牌号', '同标的车架号']"
9061303202016000293,	9061303262015000344,	"['同标的车牌号', '同标的车架号']"
9061303202016000293,	9061303202014000720,	"['同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000293,	9061303202014000647,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000293,	9061303202013000221,	"['同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000293,	9061303202012000933,	"['同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000293,	9061303202012000433,	"['同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000293,	9061303262009003514,	['同报案电话']
9061303362016000142,	9061303202016000254,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000263,	9061303362016000106,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000263,	9061303362016000039,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000263,	9061303362015000062,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000263,	9061303202015000201,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000263,	9061303202015000191,	"['同标的车牌号', '同标的车架号']"
9061303202016000263,	9061303262014000507,	"['同三者车牌号', '同三者车架号', '同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303202016000263,	9061303202014000571,	"['同三者车牌号', '同三者车架号', '同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303202016000263,	9061303262012000900,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000263,	9061303202012000604,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000263,	9061303262012000019,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000254,	9061303202014000490,	"['同三者车牌号', '同三者车架号']"
9061303202016000254,	9061303262013000531,	"['同三者车牌号', '同三者车架号']"
9061303202016000254,	9061303202012000542,	"['同三者车牌号', '同三者车架号', '同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303202016000254,	9061303202012000220,	"['同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303202016000239,	9061303312016000003,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000239,	9061303202016000006,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000233,	9061303362016000107,	['同报案电话']
9061303202016000233,	9061303202016000023,	"['同标的车牌号', '同标的车架号']"
9061303202016000233,	9061303262015000643,	"['同标的车牌号', '同标的车架号']"
9061303202016000233,	9061303262015000512,	"['同标的车牌号', '同标的车架号']"
9061303202016000233,	9061303262015000233,	"['同标的车牌号', '同标的车架号']"
9061303202016000233,	9061303202014000661,	"['同三者车牌号', '同三者车架号']"
9061303202016000233,	9061303202014000422,	"['同三者车牌号', '同三者车架号']"
9061303202016000233,	9061303202014000377,	"['同三者车牌号', '同三者车架号']"
9061303202016000222,	9061303202015000118,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000222,	9061303202014000610,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303362016000107,	9061303202016000098,	"['同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303362016000107,	9061303362016000025,	"['同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303362016000107,	9061303262015000524,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303362016000107,	9061303312015000126,	"['同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303362016000107,	9061303262015000344,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303362016000106,	9061303362016000039,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303362016000106,	9061303362015000062,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303362016000106,	9061303202015000201,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303362016000106,	9061303202015000191,	"['同标的车牌号', '同标的车架号']"
9061303362016000106,	9061303262012000900,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303362016000106,	9061303202012000604,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303362016000106,	9061303262012000019,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000203,	9061303202015000588,	"['同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000202,	9061303202015000541,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000202,	9061303262014000657,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303362016000092,	9061303202015000447,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303362016000092,	9061303202013000325,	"['同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303202016000190,	9061303202015000278,	"['同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303202016000185,	9061303202015000505,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000185,	9061303262015000155,	"['同三者车牌号', '同三者车架号']"
9061303202016000185,	9061303202013000112,	"['同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303202016000185,	9061303202012000932,	"['同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303202016000185,	9061303202012000716,	"['同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303202016000185,	9061303202012000665,	"['同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303202016000185,	9061303312012000159,	"['同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303202016000174,	9061303262014000611,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000174,	9061303202014000419,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000174,	9061303262014000139,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303362016000075,	9061303262016000033,	"['同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303362016000075,	9061303202014000369,	"['同三者车牌号', '同三者车架号']"
9061303312016000013,	9061303202016000023,	"['同三者车牌号', '同三者车架号', '同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303312016000013,	9061303202015000367,	"['同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303312016000013,	9061303312015000130,	"['同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303312016000013,	9061303262015000116,	"['同三者车牌号', '同三者车架号', '同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303312016000013,	9061303262013000372,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303312016000013,	9061303202013000257,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303312016000013,	9061303202013000070,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000136,	9061303262016000001,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000136,	9061303202016000001,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000136,	9061303312015000145,	"['同三者车牌号', '同三者车架号']"
9061303202016000136,	9061303262015000415,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000136,	9061303202015000271,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000136,	9061303262015000116,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000136,	9061303202015000064,	['同标的车架号']
9061303202016000136,	9061303262010000592,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000122,	9061303262015000643,	"['同三者车牌号', '同三者车架号']"
9061303262016000033,	9061303202016000053,	"['同三者车牌号', '同三者车架号']"
9061303262016000033,	9061303202015000538,	"['同三者车牌号', '同三者车架号']"
9061303262016000033,	9061303202015000340,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303262016000033,	9061303202015000284,	"['同三者车牌号', '同三者车架号']"
9061303262016000033,	9061303202015000257,	['同三者车架号']
9061303262016000033,	9061303262015000338,	['同三者车架号']
9061303362016000039,	9061303362015000062,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303362016000039,	9061303202015000201,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303362016000039,	9061303262012000900,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303362016000039,	9061303202012000604,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303362016000039,	9061303262012000019,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000098,	9061303362016000025,	"['同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303202016000098,	9061303312015000126,	"['同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303202016000098,	9061303202013000511,	['同标的车架号']
9061303362016000025,	9061303362015000052,	['同三者车架号']
9061303362016000025,	9061303202015000536,	['同三者车架号']
9061303362016000025,	9061303312015000126,	"['同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303202016000053,	9061303202016000043,	"['同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000053,	9061303262016000001,	"['同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303202016000053,	9061303202016000001,	"['同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303202016000053,	9061303202015000538,	"['同三者车牌号', '同三者车架号']"
9061303202016000053,	9061303202015000284,	"['同三者车牌号', '同三者车架号']"
9061303202016000053,	9061303202015000257,	['同三者车架号']
9061303202016000053,	9061303262015000338,	['同三者车架号']
9061303202016000053,	9061303262015000155,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000053,	9061303262014000264,	['同标的车牌号']
9061303202016000043,	9061303262015000155,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000043,	9061303262014000264,	['同标的车牌号']
9061303202016000038,	9061303202015000500,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000038,	9061303262015000296,	"['同三者车牌号', '同三者车架号']"
9061303202016000038,	9061303202013000504,	"['同三者车牌号', '同三者车架号']"
9061303202016000038,	9061303202013000479,	"['同三者车牌号', '同三者车架号']"
9061303202016000038,	9061303202012000677,	"['同三者车牌号', '同三者车架号']"
9061303202016000038,	9061303262012000894,	"['同三者车牌号', '同三者车架号', '同三者驾驶员驾驶证号']"
9061303202016000038,	9061303312012000180,	"['同三者车牌号', '同三者车架号', '同三者驾驶员姓名']"
9061303202016000023,	9061303262015000643,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000023,	9061303202015000367,	"['同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303202016000023,	9061303262015000512,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000023,	9061303312015000130,	"['同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303202016000023,	9061303262015000233,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000023,	9061303262015000116,	"['同三者车牌号', '同三者车架号', '同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303262016000005,	9061303202015000553,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303262016000005,	9061303262015000346,	"['同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303262016000005,	9061303202015000037,	"['同三者车牌号', '同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303262016000005,	9061303312011000359,	['同报案电话']
9061303262016000005,	9061303262011000139,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303262016000005,	9061303262010000948,	['同报案电话']
9061303312016000003,	9061303202016000006,	"['同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号', '同三者车牌号', '同三者车架号', '同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303312016000003,	9061303202015000290,	"['同三者车牌号', '同三者车架号', '同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303202016000006,	9061303202015000290,	"['同三者车牌号', '同三者车架号', '同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303202016000003,	9061303262013000390,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000003,	9061303202013000527,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303262016000001,	9061303202016000001,	"['同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号', '同三者车牌号', '同三者车架号', '同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303262016000001,	9061303262015000415,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303262016000001,	9061303202015000271,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303262016000001,	9061303262015000116,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303262016000001,	9061303202015000064,	['同标的车架号']
9061303262016000001,	9061303262010000592,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000001,	9061303262015000415,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000001,	9061303202015000271,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000001,	9061303262015000116,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202016000001,	9061303202015000064,	['同标的车架号']
9061303202016000001,	9061303262010000592,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202015000591,	9061303202015000284,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202015000591,	9061303202014000124,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202015000590,	9061303262015000519,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202015000590,	9061303202015000196,	"['同三者车牌号', '同三者车架号', '同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303202015000590,	9061303262015000105,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号', '同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9061303202015000573,	9061303202014000607,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202015000573,	9061303202014000429,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202015000573,	9061303202014000282,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202015000573,	9061303202014000173,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202015000573,	9061303202013000751,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202015000573,	9061303202013000682,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202015000573,	9061303202011000384,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303262015000643,	9061303262015000512,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303262015000643,	9061303262015000233,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303262015000641,	9061303262015000582,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303262015000641,	9061303262015000338,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303262015000641,	9061303202015000196,	"['同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202015000553,	9061303262015000346,	"['同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303202015000553,	9061303262011000139,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9061303362015000062,	9061303202015000201,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
